2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: to
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: micromanage
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: yourself
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: all
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: you're
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: going
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: to
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: do
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: is
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: make
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: yourself
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: miserable."
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "Always
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: do
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: your
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: best.
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: What
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: you
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: plant
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: now,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: you
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: will
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: harvest
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: later."
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "We
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: lie
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: the
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: loudest
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: when
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: we
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: lie
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: to
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: ourselves."
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "Art
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: is
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: the
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: signature
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: of
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: civilizations.
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "He
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: who
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: possesses
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: most
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: must
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: be
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: most
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: afraid
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: of
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: loss."
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "Our
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: life
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: isn't
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: how
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: much
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: we
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: can
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: take
